goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   45591	     25650 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   43566	     25456 ns/op	     855 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   40809	     25961 ns/op	     858 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   42942	     25334 ns/op	     856 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   43557	     25209 ns/op	     855 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   41811	     24871 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   47625	     24602 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   40282	     26211 ns/op	     867 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   40376	     25349 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   41347	     25291 ns/op	     860 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   40255	     26963 ns/op	     865 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   41684	     25355 ns/op	     860 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   40918	     26552 ns/op	     860 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   50115	     24379 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   44758	     25885 ns/op	     856 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   41046	     24641 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   43872	     25436 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   44614	     25104 ns/op	     864 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   41493	     28873 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   44016	     25227 ns/op	     859 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   49611	     25328 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   41204	     25008 ns/op	     862 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   41616	     25802 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   41181	     25638 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   42944	     26017 ns/op	     861 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   39648	     25949 ns/op	     863 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   44670	     26865 ns/op	     859 B/op	      16 allocs/op
PASS
ok  	cw	353.491s
